Course Author(s),Course,Grade,Semester,Unit Name,Start Week,End Week,LO Code:,Learning Outcome,Essential Questions,Concepts,Skills,Textbook Materials and Resources,Evidence of Learning,Primary Grand Challenge,Capstone Connection,Pre-Requisites,Applications,Relations,Topic,Updated by,Last Update,Reviewer Comments,Course Materials,All Lesson Plans,Big Idea,Semester Theme,Unit Materials Folder,Course Color,WL Review Comments,Lesson Plan (this LO only)
,Advisory,1,1,,,,AD.1.01,AD.1.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Advisory,2,1,,,,AD.2.01,AD.2.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Advisory,2,2,,,,AD.2.02,AD.2.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,1,Year Long,,,,AT.1.01,AT.1.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,1,Year Long,,,,AT.1.02,AT.1.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,1,1&2,,,,AT.1.03,AT.1.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,1,1&2,,,,AT.1.04,AT.1.04 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,2,1,,,,AT.2.01,AT.2.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,2,1,,,,AT.2.02,AT.2.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,2,2,,,,AT.2.03,AT.2.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,2,2,,,,AT.2.04,AT.2.04 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,3,1,,,,AT.3.01,AT.3.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,3,1,,,,AT.3.02,AT.3.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,3,2,,,,AT.3.03,AT.3.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,3,2,,,,AT.3.04,AT.3.04 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,1,,,,CP.1.01,CP.1.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,1,,,,CP.1.02,CP.1.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,1,,,,CP.1.03,CP.1.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,1,,,,CP.1.04,CP.1.04 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,2,,,,CP.1.12,CP.1.12 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,2,,,,CP.1.13,CP.1.13 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,2,,,,CP.1.14,CP.1.14 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,2,,,,CP.1.15,CP.1.15 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.01,CP.3.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.02,CP.3.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.03,CP.3.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.04,CP.3.04 Original,,,,,,,,,,,,,,,,,,,,,,
