Course Author(s),Course,Grade,Semester,Unit Name,Start Week,End Week,LO Code:,Learning Outcome,Essential Questions,Concepts,Skills,Textbook Materials and Resources,Evidence of Learning,Primary Grand Challenge,Capstone Connection,Pre-Requisites,Applications,Relations,Topic,Updated by,Last Update,Reviewer Comments,Course Materials,All Lesson Plans,Big Idea,Semester Theme,Unit Materials Folder,Course Color,WL Review Comments,Lesson Plan (this LO only)
,Math,1,1,,,,MA.1.01,Will be changed significantly.,,,,,,,,,,,,,,,,,,,,,,
,Math,1,1,,,,MA 1.03,Will have the MA.1.03 code without the period. Understand similarity and use the concept for scaling to solve problems.,,,,,,,,,,,,,,,,,,,,,,
,Math,1,1,,,,MA.1.08,"will be switched with 08. Apply volume formulas (pyramid, cones, spheres, prisms).",,,,,,,,,,,,,,,,,,,,,,
,Math,1,1&2,,,,MA.1.05,"Will be switched to semester 1&2. Create, interpret and analyze functions, particularly linear and step functions that model real-world situations.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,1&2,,,,MA.1.06,"Will be unchanged. Analyze, display and describe quantitative data with a focus on standard deviation.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.07,"Will be switched to semester 2. Create, interpret and analyze quadratic functions that model real-world situations.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.04,"Will be switched with 04. Create, interpret and analyze exponential and logarithmic functions that model real-world situations.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.09,Will have a description that is very similar to 10.,,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.10,Will have a description that is very similar to 09.,,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.11,"Will have period removed from description. Create, interpret and analyze systems of linear functions that model real-world situations",,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.12,Will be reactivated. Apply determinants and their properties in real-world situations.,,,,,,,,,,,,,,,,,,,,,,
